"","Evenement","Organisator","Entree Ja/Nee","Editie 1","Startdatum","Einddatum","Aantal dagen","Locatie/accomodatie","Binnen of Buiten","Imago","Bezoekers","Jaar"
"206","7UUS","Q4J","onbekend",1993,2012-11-20,2012-12-02,13,"Luxor (nieuw) / Theater Zuidplein / Luxor Theater (oud) / Theater Walhalla","binnen","Nationaal belang/Parels",10000,2012
"207","N4MK","YMS","gedeeltelijk gratis",2007,2012-09-28,2012-10-07,6,"Unie (De) / LantarenVenster / WORM","binnen","Nationaal belang/Parels",5500,2012
"208","T0YD","1FH","gedeeltelijk gratis",2012,2012-12-07,2013-02-14,70,"Westersingel / Het Park bij de Euromast","buiten","Internationaal belang/Iconen",125000,2012
"209","3MJF","DK7","gratis",2000,2012-01-25,2012-01-25,1,"Park naast Watt","buiten","Regionaal belang/kleinschalig",10000,2012
"210","MNFF","IT6","betaald",2014,NA,NA,NA,NA,"buiten","Regionaal belang/kleinschalig",3900,2012
"211","4ND7","8BR","gratis",1993,2012-07-27,2012-07-28,2,"Coolsingel","buiten","Internationaal belang/Iconen",7e+05,2012
"212","KE5E","U9A","gedeeltelijk gratis",1994,2012-06-23,2012-06-23,1,"Schouwburgplein / Binnenwegplein","beide","Nationaal belang/Parels",8105,2012
"213","XA2G","T8M","gratis",1993,2012-08-12,2012-08-12,1,"Het Park bij de Euromast","buiten","Nationaal belang/Parels",30000,2012
"214","NEZO","RK7","gedeeltelijk gratis",NA,2012-09-19,2012-09-30,12,"Schouwburgplein / Rotterdamse Schouwburg / Tent","beide","Nationaal belang/Parels",6083,2012
"215","8XQV","5U8","betaald",2009,2012-09-08,2012-09-08,1,"Katendrecht / Deliplein","beide","Regionaal belang/kleinschalig",4500,2012
"216","53C3","I32","gratis",NA,2012-12-31,2013-01-01,2,"Boompjes / Boompjeskade","buiten","Nationaal belang/Parels",20000,2012
"217","EOXH","PCR","gratis",2006,2012-06-23,2012-06-23,1,"Nieuwe Binnenweg","buiten","Regionaal belang/kleinschalig",15000,2012
"218","VBE7","EAW","gedeeltelijk gratis",2012,NA,NA,NA,NA,"beide","Nationaal belang/Parels",1317,2012
"219","QNW3","SH1","gedeeltelijk gratis",2009,2012-08-04,2012-08-05,2,"Vroesenpark","buiten","Regionaal belang/kleinschalig",4500,2012
