"","Evenement","Organisator","Entree Ja/Nee","Editie 1","Startdatum","Einddatum","Aantal dagen","Locatie/accomodatie","Binnen of Buiten","Imago","Bezoekers","Jaar"
"704","LXDY","LZM","betaald",2015,NA,NA,NA,NA,"binnen","Regionaal belang/kleinschalig",65,2015
"705","Z60Y","AO7","onbekend",2015,2015-09-27,2015-09-27,1,"Gevangenis Noordsingel","binnen","Regionaal belang/kleinschalig",NA,2015
"706","WONE","H14","gratis",2015,2015-02-04,2015-02-08,5,"Fenixloods","binnen","Regionaal belang/kleinschalig",5000,2015
"707","B7O0","1LH","gedeeltelijk gratis",2014,2015-10-09,2015-10-10,2,"Hotel New York / Theater Walhalla","binnen","Nationaal belang/Parels",1250,2015
"708","I40T","90G","gedeeltelijk gratis",1994,2015-01-21,2015-02-01,12,"Schouwburgplein / Rotterdamse Schouwburg / De Doelen / Cinerama / LantarenVenster / Luxor Theater (oud) / Pathe Schouwburgplein / .en anderen","beide","Internationaal belang/Iconen",302000,2015
"709","8L83","WBF","gratis",1995,2015-06-26,2015-06-28,3,"Centrum Hillegersberg","buiten","Regionaal belang/kleinschalig",30000,2015
"710","UC1B","3WT","betaald",2015,2015-06-05,2015-07-19,45,"Fenixloods","binnen","Regionaal belang/kleinschalig",2750,2015
"711","WNDC","NUU","onbekend",2013,2015-06-26,2015-06-27,2,"LantarenVenster / Hotel New York / Kantine Walhalla","binnen","Nationaal belang/Parels",2500,2015
"712","YD4E","5S1","betaald",2011,2015-08-17,2015-08-21,3,"Molenveld","buiten","Regionaal belang/kleinschalig",750,2015
"713","WHUV","R4I","gratis",2015,2015-10-18,2015-10-18,1,"Zeetoren","binnen","Regionaal belang/kleinschalig",50,2015
"714","SMT0","029","onbekend",2015,2015-10-10,2015-10-11,2,"Kunsthal","binnen","Nationaal belang/Parels",NA,2015
"715","23N9","AL5","gedeeltelijk gratis",2015,2015-09-20,2016-02-07,2,"Kunsthal / Nieuwe Binnenweg / Museumpark / .en anderen / Stationsplein","beide","Internationaal belang/Iconen",121179,2015
"716","S28D","G4V","onbekend",2014,2015-08-16,2015-08-16,1,"Historisch Delfhaven","buiten","Regionaal belang/kleinschalig",6000,2015
"717","WX2Y","JS5","gratis",2015,2015-06-28,2015-06-28,1,"Deliplein","buiten","Regionaal belang/kleinschalig",1000,2015
"718","W3Y0","1BG","betaald",2015,2015-08-02,2015-08-02,1,"Zomerhofkwartier","beide","Regionaal belang/kleinschalig",2000,2015
"719","XA7I","XA8","onbekend",2011,2015-05-03,2015-05-03,1,"Stadion Feijenoord / De Kuip","binnen","Nationaal belang/Parels",40000,2015
"720","K4EB","XA8","betaald",2015,2015-04-27,2015-04-27,1,"Stadion Feijenoord / De Kuip","beide","Regionaal belang/kleinschalig",4500,2015
"721","K4EB","J1P","betaald",2014,2015-04-27,2015-04-27,1,"Willemsplein","buiten","Regionaal belang/kleinschalig",4850,2015
"722","N1H3","OOH","betaald",2014,2015-04-27,2015-04-27,1,"Kralingse Bos","beide","Regionaal belang/kleinschalig",8000,2015
"723","I27L","MOL","gratis",2000,2015-09-11,2015-09-13,3,"Witte de Withstraat / .en anderen","beide","Regionaal belang/kleinschalig",31500,2015
"724","UP9J","VBU","gratis",2015,2015-09-12,2015-09-13,2,"Museumpark","buiten","Regionaal belang/kleinschalig",31500,2015
"725","9FK0","AL5","betaald",2006,2015-06-19,2015-06-21,3,"Kunsthal","beide","Regionaal belang/kleinschalig",4879,2015
"726","U2E8","YK6","gedeeltelijk gratis",2011,2015-06-14,2015-06-14,1,"Ahoy / Zuiderpark / Route","beide","Nationaal belang/Parels",30000,2015
"727","7DHK","GU9","onbekend",2011,2015-09-20,2015-09-20,1,"Route / Oeverpark Nesselande","buiten","Regionaal belang/kleinschalig",NA,2015
"728","ZY77","GU9","onbekend",2013,2015-09-19,2015-09-19,1,"Route / Oeverpark Nesselande","buiten","Regionaal belang/kleinschalig",4250,2015
"729","HWES","040","onbekend",1997,2015-11-14,2015-11-14,1,"Centrale Bibliotheek","binnen","Regionaal belang/kleinschalig",1719,2015
"730","26O4","LKW","betaald",2015,2015-07-19,2015-07-19,1,"Entrepothaven","buiten","Nationaal belang/Parels",4000,2015
"731","J4FW","OOH","betaald",2015,2015-07-26,2015-07-26,1,"Parklaan","buiten","Regionaal belang/kleinschalig",4000,2015
"732","9RIV","YFB","betaald",2014,2015-04-27,2015-08-29,14,"Kralingse Bos / Vroesenpark","buiten","Regionaal belang/kleinschalig",5000,2015
"733","9RIV","JLB","betaald",2015,2015-04-27,2015-09-26,21,"Sportcomplex Gordelweg","buiten","Regionaal belang/kleinschalig",10000,2015
"734","55V6","7T0","betaald",2015,2015-08-01,2015-08-01,1,"Mullerpier","buiten","Regionaal belang/kleinschalig",500,2015
"735","2XKM","II1","gratis",2015,2015-05-30,2015-05-30,1,"Afrikaanderplein","buiten","Regionaal belang/kleinschalig",800,2015
"736","U4BR","NKE","gedeeltelijk gratis",1995,2015-04-12,2015-04-12,1,"Coolsingel / Route","buiten","Internationaal belang/Iconen",950000,2015
"737","WOB6","QHL","gratis",2005,2015-09-05,2015-09-06,2,"Leuvehaven / Oude Haven","beide","Nationaal belang/Parels",16000,2015
"738","B2TP","MVE","gedeeltelijk gratis",2015,2015-09-12,2015-09-12,1,"Zevenhuizerplas / Boulevard Nesselande","buiten","Regionaal belang/kleinschalig",5000,2015
"739","EJ2O","93P","gratis",1993,2015-07-05,2015-07-05,1,"Zuiderpark","buiten","Nationaal belang/Parels",30000,2015
"740","6EO7","2X0","betaald",2015,2015-05-16,2015-05-16,1,"Fenixloods","beide","Nationaal belang/Parels",2000,2015
"741","ZB9F","I28","onbekend",2015,2015-10-16,2015-10-18,3,"Poppodium Baroeg","binnen","Regionaal belang/kleinschalig",NA,2015
"742","R9OM","FUC","betaald",2002,2015-04-10,2015-04-11,2,"Schouwburgplein","beide","Nationaal belang/Parels",7500,2015
"743","K7GW","5GG","onbekend",2015,2015-10-29,2015-11-01,4,"Rotterdamse Schouwburg","binnen","Nationaal belang/Parels",NA,2015
"744","C1R4","L21","onbekend",2015,2015-03-07,2015-03-07,1,"Museum Boijmans Van Beuningen / Nederlands Foto Instituut / MAMA showroom / Kunsthal / Maritiem Museum / Centrum Beeldende Kunst / Witte de With / Chabot Museum / WORM / Natuur Historisch Museum","binnen","Nationaal belang/Parels",NA,2015
"745","C1R4","SFW","betaald",2015,2015-03-07,2015-03-07,1,"Museum Boijmans Van Beuningen / Nederlands Foto Instituut / MAMA showroom / Kunsthal / Maritiem Museum / Tent / Chabot Museum / SKVR / V2_gebouw / WORM / Natuur Historisch Museum / .en anderen / RAAF / Het Nieuwe Instituut / Belasting- en Douanemuseum / Aboriginal Art Gallery","beide","Nationaal belang/Parels",4755,2015
"746","1FBA","ELX","gedeeltelijk gratis",2013,2015-09-13,2016-10-16,25,".en anderen","beide","Regionaal belang/kleinschalig",7500,2015
"747","YBFO","BHX","gratis",2015,2015-06-18,2015-06-20,3,"Noordplein","buiten","Regionaal belang/kleinschalig",1500,2015
"748","XDQU","XA8","betaald",2014,2015-06-06,2015-06-06,1,"Stadion Feijenoord / De Kuip","buiten","Nationaal belang/Parels",12000,2015
"749","U6EO","FJA","onbekend",2015,2015-11-21,2015-11-21,1,"Grounds","binnen","Regionaal belang/kleinschalig",NA,2015
"750","ZLBU","A6R","betaald",2015,2015-05-23,2015-05-23,1,"Keileweg","buiten","Regionaal belang/kleinschalig",15000,2015
"751","3N1Y","I18","gratis",2013,2015-10-21,2015-11-01,12,"Lloyd Multiplein","buiten","Regionaal belang/kleinschalig",100,2015
"752","OLSH","539","betaald",2011,2015-09-24,2015-09-27,4,"Ahoy / Coolsingel / Route","beide","Nationaal belang/Parels",40000,2015
"753","O7PB","1QQ","betaald",2015,2015-06-13,2015-06-13,1,"Zevenhuizerplas / Kosboulevard","buiten","Regionaal belang/kleinschalig",2000,2015
"754","4Q9V","709","gratis",2015,2015-05-30,2015-05-30,1,"Zevenhuizerplas / Route","buiten","Regionaal belang/kleinschalig",700,2015
"755","EQ05","8DA","gratis",2006,2015-06-27,2015-06-27,1,"Nieuwe Binnenweg","buiten","Regionaal belang/kleinschalig",10000,2015
"756","9X36","XA8","betaald",2014,2015-06-20,2015-06-20,1,"Stadion Feijenoord / De Kuip","buiten","Nationaal belang/Parels",8000,2015
"757","1IX8","78I","gratis",2015,NA,NA,NA,NA,"beide","Regionaal belang/kleinschalig",200,2015
"758","9A51","H14","onbekend",2015,2015-02-04,2015-02-17,14,"Fenixloods","binnen","Regionaal belang/kleinschalig",NA,2015
"759","S5IW","9HH","onbekend",2013,2015-07-05,2015-07-05,1,"Ahoy / LantarenVenster","binnen","Nationaal belang/Parels",NA,2015
"760","KC2R","BJQ","gedeeltelijk gratis",2006,2015-06-26,2015-07-12,17,"Schouwburgplein / Eendrachtsplein / Binnenwegplein / Grotekerkplein","beide","Nationaal belang/Parels",90000,2015
"761","RGC6","218","betaald",2007,2015-02-05,2015-02-08,4,"De Rotterdam / SS Rotterdam","binnen","Nationaal belang/Parels",6000,2015
"762","CCXE","10W","gedeeltelijk gratis",2015,2015-07-25,2015-09-27,65,"Tent","route","Regionaal belang/kleinschalig",10400,2015
"763","OZPO","EPS","onbekend",2015,2015-05-04,2015-05-04,1,"Route","beide","Nationaal belang/Parels",NA,2015
"764","XL0Q","C29","gratis",2015,2015-05-29,2015-05-31,3,"Lijnbaan / Laurenskerk / Beursplein / Binnenwegplein / Markthal / Hoogstraat / Route door de binnenstad","route","Regionaal belang/kleinschalig",10000,2015
"765","IUUB","XA8","gratis",2014,2015-07-19,2015-07-19,1,"Stadion Feijenoord / De Kuip","beide","Nationaal belang/Parels",45000,2015
"766","7962","ULX","onbekend",2011,2015-05-14,2015-05-14,1,"Hoek van Holland strand","buiten","Nationaal belang/Parels",NA,2015
"767","XT1L","XA8","betaald",2014,2015-08-02,2015-08-02,1,"Stadion Feijenoord / De Kuip","buiten","Nationaal belang/Parels",45000,2015
"768","YWIX","CZK","gedeeltelijk gratis",2011,2015-05-22,2015-05-31,10,"Schouwburgplein / Rotterdamse Schouwburg / De Doelen / Luxor (nieuw) / Centraal Station / Wilhelminapier / Luxor Theater (oud) / De Gouvernestraat / LP2 / .en anderen","beide","Nationaal belang/Parels",22178,2015
"769","X7Y6","O2L","betaald",2015,NA,NA,NA,NA,"beide","Regionaal belang/kleinschalig",20000,2015
"770","1MN8","K6N","betaald",2013,2015-04-27,2015-04-27,1,"Parklaan","buiten","Nationaal belang/Parels",7000,2015
"771","IFHR","236","gratis",2013,2015-08-23,2015-08-23,1,"Oude Haven","buiten","Regionaal belang/kleinschalig",5000,2015
"772","WJDI","7AU","betaald",2015,2015-07-25,2015-07-25,1,"Oude Plantage","buiten","Regionaal belang/kleinschalig",3500,2015
"773","0084","DK6","gratis",2015,2015-02-04,2015-03-08,33,"Wilhelminapier / Fenixloods","buiten","Nationaal belang/Parels",4900,2015
"774","CX4T","WQY","gratis",2002,2015-08-26,2015-08-29,2,"Veerhaven","buiten","Nationaal belang/Parels",6000,2015
"775","SWVO","QHL","onbekend",2015,2015-11-17,2015-11-19,3,"Leuvehaven","buiten","Regionaal belang/kleinschalig",NA,2015
"776","684Q","J1P","betaald",2015,2015-05-22,2015-05-31,6,"Kralingse Bos","buiten","Regionaal belang/kleinschalig",1500,2015
"777","O51L","IMH","gedeeltelijk gratis",2014,2015-03-21,2015-09-13,6,"Route","route","Regionaal belang/kleinschalig",4383,2015
"778","T405","Y3N","gratis",2015,NA,NA,NA,NA,"buiten","Regionaal belang/kleinschalig",6000,2015
"779","SRBN","OOH","betaald",2015,2015-05-24,2015-05-24,1,"Van Nellefabriek","binnen","Regionaal belang/kleinschalig",10000,2015
"780","0OAM","8RZ","onbekend",2015,2015-05-29,2015-05-31,3,"Museumpark","buiten","Regionaal belang/kleinschalig",NA,2015
"781","YEIX","QK3","gratis",2012,2015-06-27,2015-06-28,2,"Pijnackerplein","buiten","Regionaal belang/kleinschalig",11253,2015
"782","MHHY","GN6","betaald",2015,2015-05-23,2015-08-01,3,"Kralingse Bos / Roel Langerakpark","buiten","Regionaal belang/kleinschalig",6000,2015
"783","K2EO","KQH","betaald",1996,2015-08-12,2015-08-30,19,"Museumpark","buiten","Regionaal belang/kleinschalig",19000,2015
"784","IWCS","7OG","onbekend",1994,2015-06-09,2015-06-13,5,"Rotterdamse Schouwburg / Unie (De)","binnen","Regionaal belang/kleinschalig",NA,2015
"785","LND6","9HH","onbekend",2013,2015-07-10,2015-07-12,3,"Ahoy","binnen","Internationaal belang/Iconen",75000,2015
"786","XJ7J","SD3","betaald",2015,2015-08-08,2015-08-08,1,"Noorderbocht","buiten","Regionaal belang/kleinschalig",3000,2015
"787","08OU","R10","betaald",2015,NA,NA,NA,NA,"buiten","Regionaal belang/kleinschalig",500,2015
"788","EDDQ","B03","betaald",2015,2015-01-22,2015-01-31,10,"Off_Corso / Hofpoort","binnen","Nationaal belang/Parels",2987,2015
"789","I23L","KFP","gratis",2015,2015-05-24,2015-05-25,2,"Kralingse Bos","buiten","Nationaal belang/Parels",300,2015
"790","URCX","3F3","onbekend",2014,2015-10-03,2015-10-04,2,"Groothandelsgebouw","buiten","Regionaal belang/kleinschalig",NA,2015
"791","ZEP0","X29","betaald",2015,2015-07-01,2015-09-30,92,"Katendrecht","buiten","Regionaal belang/kleinschalig",90000,2015
"792","UOY3","GM1","gedeeltelijk gratis",2013,2015-07-21,2015-07-25,5,"Schouwburgplein / Coolsingel / Hofplein / Route","beide","Internationaal belang/Iconen",117150,2015
"793","Y4T9","T9F","onbekend",2013,2015-05-29,2015-06-06,9,"LantarenVenster","binnen","Regionaal belang/kleinschalig",NA,2015
"794","CAIJ","IRQ","gedeeltelijk gratis",2013,2015-07-22,2015-07-26,5,"Dak van de Hofbogen","buiten","Regionaal belang/kleinschalig",1960,2015
"795","5I1J","O2L","betaald",2015,2015-10-10,2015-10-11,2,"Stadion Feijenoord / De Kuip","beide","Regionaal belang/kleinschalig",1500,2015
"796","T5M2","SO9","gratis",2012,2015-05-23,2015-05-23,1,"Deliplein / Route","beide","Regionaal belang/kleinschalig",2300,2015
"797","KF3I","FEW","gratis",2004,2015-05-25,2015-05-25,1,"Coolsingel","route","Nationaal belang/Parels",30000,2015
"798","T3ZO","H14","gedeeltelijk gratis",2012,2015-02-04,2015-02-08,5,"Rotterdamse Schouwburg / LantarenVenster / HAL Cruiseterminal / Fenixloods","binnen","Nationaal belang/Parels",14500,2015
"799","E7TY","JLB","betaald",2015,2015-09-12,2015-09-12,1,"Roel Langerakpark","buiten","Regionaal belang/kleinschalig",10000,2015
"800","E7TY","SD3","betaald",2015,2015-09-12,2015-09-12,1,"Roel Langerakpark","buiten","Regionaal belang/kleinschalig",15000,2015
"801","DMCB","ZHZ","gedeeltelijk gratis",2014,2015-09-24,2015-09-27,4,"Van Oldenbarneveltstraat","beide","Regionaal belang/kleinschalig",18000,2015
"802","M34G","8FW","onbekend",2015,2015-05-22,2015-05-24,3,"Rotown / WORM / Tiki's Bar & Grill / Vessel 11 (V11)","binnen","Regionaal belang/kleinschalig",NA,2015
"803","D9KD","EAW","gratis",2012,2015-09-25,2015-09-25,1,"Binnenrotte / Centrale Bibliotheek / Markthal","beide","Nationaal belang/Parels",4750,2015
"804","TX3L","PYD","gratis",2000,2015-07-18,2015-07-18,1,"Grotekerkplein","buiten","Regionaal belang/kleinschalig",4500,2015
"805","R2QN","UA8","gedeeltelijk gratis",2015,2015-06-11,2015-06-14,4,".en anderen","buiten","Regionaal belang/kleinschalig",6500,2015
"806","M8SI","XN0","betaald",2015,2015-01-17,2015-01-18,2,"Route","beide","Regionaal belang/kleinschalig",1000,2015
"807","KMZB","263","gedeeltelijk gratis",2003,2015-03-07,2015-03-07,1,"Nederlands Foto Instituut / Maritiem Museum / Havenmuseum / .en anderen","beide","Regionaal belang/kleinschalig",15000,2015
"808","BNRC","2R2","gedeeltelijk gratis",2014,2015-09-18,2015-09-19,2,"Heemraadsplein","buiten","Regionaal belang/kleinschalig",5500,2015
"809","8PO8","WAM","gratis",2013,2015-11-06,2015-11-15,10,"Bird","binnen","Regionaal belang/kleinschalig",20000,2015
"810","ACFA","C29","betaald",2013,2015-09-17,2015-09-20,4,"Het Park bij de Euromast","buiten","Regionaal belang/kleinschalig",9000,2015
"811","0EVM","OHM","gedeeltelijk gratis",2009,2015-06-05,2015-06-07,3,"Hofplein Dakterras / Zomerhofkwartier","beide","Regionaal belang/kleinschalig",3500,2015
"812","BAXD","7AU","betaald",2015,2015-05-31,2015-05-31,1,"Het Park bij de Euromast","buiten","Regionaal belang/kleinschalig",1500,2015
"813","6ASF","YLY","onbekend",2017,2015-09-11,2015-09-13,3,"Noordplein","buiten","Regionaal belang/kleinschalig",NA,2015
"814","1WDV","0I7","gedeeltelijk gratis",2015,NA,NA,NA,NA,"buiten","Regionaal belang/kleinschalig",4000,2015
"815","VI80","D0H","betaald",2014,2015-04-27,2015-04-27,1,"Roel Langerakpark","buiten","Regionaal belang/kleinschalig",5000,2015
"816","VI80","NMJ","betaald",2013,2015-04-27,2015-04-27,1,"Plein 1940","buiten","Regionaal belang/kleinschalig",6000,2015
"817","MMCH","TGJ","onbekend",2015,2015-12-31,2015-12-31,1,"Alexanderpolder","buiten","Onbekend",NA,2015
"818","W75X","U07","betaald",2015,2015-06-06,2015-07-25,4,"Het Park bij de Euromast / Oeverpark Nesselande","buiten","Nationaal belang/Parels",3000,2015
"819","QCM7","FFY","gratis",2012,2015-05-21,2015-05-24,4,"Ahoy / Zuiderpark","beide","Nationaal belang/Parels",40000,2015
"820","TIH1","1IP","gratis",2002,2015-11-14,2015-11-14,1,"Willemsplein / Grotekerkplein","route","Regionaal belang/kleinschalig",17000,2015
"821","35T9","IZE","gratis",2015,2015-11-14,2015-11-14,1,"Willemskade / Grotekerkplein","route","Regionaal belang/kleinschalig",4000,2015
"822","Y1S1","QH0","gratis",2015,2015-05-27,2015-05-31,5,"Kralingse Plas","buiten","Nationaal belang/Parels",5000,2015
"823","ZSP5","NS7","onbekend",2011,2015-11-28,2015-11-29,2,"De Doelen","binnen","Nationaal belang/Parels",5329,2015
"824","KZDO","0PD","gratis",2014,2015-12-10,2016-01-23,45,"Lijnbaan / Coolsingel / Beursplein / Binnenwegplein","buiten","Regionaal belang/kleinschalig",60000,2015
"825","U0CN","SJB","betaald",2015,2015-04-09,2015-04-11,3,"Cinerama","binnen","Nationaal belang/Parels",1984,2015
"826","B09I","09K","gratis",2011,2015-05-03,2015-09-13,21,"Stadspodium","buiten","Regionaal belang/kleinschalig",8425,2015
"827","YOY1","8FW","onbekend",2015,2015-12-21,2015-12-21,1,"Rotown / Arminius / .en anderen","binnen","Regionaal belang/kleinschalig",NA,2015
"828","422G","DHC","onbekend",2015,2015-07-18,2015-07-18,1,"Vroesenpark","buiten","Regionaal belang/kleinschalig",NA,2015
"829","CZCF","TQP","betaald",2015,2015-08-01,2015-08-01,1,"Beachclub Royal","beide","Regionaal belang/kleinschalig",4000,2015
"830","RPH6","U5K","betaald",2015,2015-07-04,2015-07-04,1,"Kralingse Bos / Kralingse Plas / Roel Langerakpark","buiten","Regionaal belang/kleinschalig",10000,2015
"831","H7DK","8RZ","onbekend",2012,2015-04-06,2015-10-04,8,"Museumpark","buiten","Regionaal belang/kleinschalig",15000,2015
"832","H7N7","ELX","gedeeltelijk gratis",2014,2015-06-07,2015-12-21,14,"Schouwburgplein / .en anderen","beide","Nationaal belang/Parels",2500,2015
"833","D5GT","LZZ","betaald",2015,2015-01-31,2015-02-01,2,"Hulstkampgebouw","binnen","Regionaal belang/kleinschalig",200,2015
"834","Z272","QQS","gratis",2014,2015-02-04,2015-02-08,5,"Witte de Withstraat / Wilhelminapier / WORM / Fenixloods","buiten","Nationaal belang/Parels",10000,2015
"835","W5TL","34K","betaald",2015,2015-08-22,2015-08-22,1,"Lloyd Multiplein","buiten","Regionaal belang/kleinschalig",7000,2015
"836","YUSY","CQL","gratis",2014,2015-10-03,2015-10-04,2,"Witte de With","beide","Regionaal belang/kleinschalig",1214,2015
"837","IIRT","380","betaald",2015,2015-05-30,2015-05-30,1,"Ahoy","buiten","Nationaal belang/Parels",45000,2015
"838","ARD2","1BU","betaald",2015,2015-06-05,2015-06-05,1,"Theater Zuidplein","beide","Regionaal belang/kleinschalig",500,2015
"839","TWTY","XC3","gratis",2015,2015-09-05,2015-09-05,1,"Rijnhaven","buiten","Regionaal belang/kleinschalig",1000,2015
"840","6CL0","6HA","betaald",2015,2015-05-16,2015-05-16,1,"Weena Zuid 33","buiten","Regionaal belang/kleinschalig",5000,2015
"841","APT4","6HA","betaald",2015,2015-05-16,2015-05-16,1,"Roel Langerakpark","buiten","Regionaal belang/kleinschalig",5000,2015
"842","G2EG","SJB","gratis",2015,2015-07-05,2015-07-05,1,"Coolsingel / Stadhuisplein / Route","buiten","Nationaal belang/Parels",50000,2015
"843","7CQ3","Z2W","gratis",2015,NA,NA,NA,NA,"buiten","Regionaal belang/kleinschalig",20000,2015
"844","PYET","K6N","onbekend",2015,2015-04-26,2015-04-26,1,"Parklaan","buiten","Regionaal belang/kleinschalig",NA,2015
"845","B78P","NV7","gratis",2015,2015-11-19,2015-11-19,1,"Van Oldenbarneveltplaats","buiten","Regionaal belang/kleinschalig",4000,2015
"846","09HQ","S2B","gedeeltelijk gratis",2008,2015-01-16,2015-01-18,3,"Rotterdamse Schouwburg / LantarenVenster / Metrostation CS","beide","Nationaal belang/Parels",4200,2015
"847","CWJV","GKI","betaald",2004,2015-06-13,2015-06-14,2,"Tuinen Rotterdam","buiten","Regionaal belang/kleinschalig",2304,2015
"848","7LUP","AC8","onbekend",2015,2015-07-19,2015-07-19,1,"Wijkpark Oude Westen","buiten","Regionaal belang/kleinschalig",2000,2015
"849","6AZG","G0G","onbekend",NA,2015-12-18,2015-12-20,3,"Restaurant Gare du Nord","binnen","Regionaal belang/kleinschalig",NA,2015
"850","247X","OHV","onbekend",2011,2015-04-18,2015-05-05,18,"Lloyd Multiplein","buiten","Regionaal belang/kleinschalig",NA,2015
"851","5K1G","OOH","betaald",2014,2015-08-29,2015-08-29,1,"Vroesenpark","buiten","Nationaal belang/Parels",5000,2015
"852","FKSJ","UGH","gratis",2015,2015-08-08,2015-08-08,1,"Hoek van Holland strand","buiten","Regionaal belang/kleinschalig",15000,2015
"853","SAEV","Y64","gratis",2001,2015-07-15,2015-08-12,5,"Binnenrotte / Route","buiten","Regionaal belang/kleinschalig",50000,2015
"854","KKQ3","F6N","gratis",2015,2015-08-29,2015-08-29,1,"Deliplein / Rijnhavenplein / Wilhelminahoofd","buiten","Regionaal belang/kleinschalig",2500,2015
"855","R7Z8","ZIG","gratis",1993,2015-09-04,2015-09-06,3,"Parkkade / Katendrecht / Erasmusbrug / Wilhelminapier / Havengebieden / Veerkade  / Veerhaven / Willemskade / Parkhaven / Rijnhaven / Leuvehoofd / Willemsplein / Boompjeskade / Westerkade / Nieuwe Maas","buiten","Internationaal belang/Iconen",320000,2015
"856","37K0","7RF","gratis",2015,2015-06-28,2015-06-28,1,"Wijnhaven","beide","Regionaal belang/kleinschalig",500,2015
"857","PBQ3","TKL","betaald",2015,2015-10-29,2015-11-01,4,"Cinerama","binnen","Regionaal belang/kleinschalig",3000,2015
"858","2ZX6","5I1","onbekend",2015,2015-06-26,2015-07-05,10,"Parkeerterrein ss Rotterdam","buiten","Internationaal belang/Iconen",NA,2015
"859","6RNW","6MT","betaald",2011,2015-01-02,2015-01-07,6,"Ahoy","binnen","Nationaal belang/Parels",NA,2015
"860","MO58","E5H","gratis",2013,2015-05-01,2015-09-30,153,"Schouwburgplein / Kruisplein / Stationsplein","buiten","Regionaal belang/kleinschalig",96000,2015
"861","KEUP","IM1","gratis",2001,2015-06-07,2015-07-05,5,"Het Park bij de Euromast","buiten","Regionaal belang/kleinschalig",11250,2015
"862","K260","QW8","gratis",2016,NA,NA,NA,NA,"Mediaproductie","n.v.t.",200,2016
"863","TIEX","M0E","onbekend",2016,2016-06-12,2016-06-12,1,"Schouwburgplein","buiten","Regionaal belang/kleinschalig",2000,2016
"864","2G6S","C6J","gratis",1993,2016-09-02,2016-09-04,3,"Leuvehaven / Plein 1940 / Oude Haven / Wijnhaven","buiten","Regionaal belang/kleinschalig",30000,2016
"865","FIDS","U5K","betaald",2015,2016-07-16,2016-07-16,1,"Roel Langerakpark","beide","Nationaal belang/Parels",5000,2016
"866","349I","UFJ","betaald",2016,2016-05-13,2016-05-16,4,"Merwe Vierhavensgebied","beide","Regionaal belang/kleinschalig",750,2016
"867","COFR","AAA","gedeeltelijk gratis",2016,2016-03-10,2016-06-11,68,"Schouwburgplein / De Doelen / Centraal Station / Laurenskerk","beide","n.v.t.",30634,2016
"868","DTGN","7CD","gratis",2016,2016-09-10,2016-09-10,1,"Alexanderpolder","beide","Regionaal belang/kleinschalig",1000,2016
"869","3FD7","WRU","gratis",2014,2016-10-01,2016-10-01,1,"Nieuwe Binnenweg","beide","Regionaal belang/kleinschalig",7500,2016
"870","9MWY","CU4","gedeeltelijk gratis",2016,2016-06-24,2016-06-25,2,"Hoogstraat","buiten","n.v.t.",149,2016
"871","GN5Z","SFW","gratis",2015,2016-03-05,2016-03-05,1,"Museum Boijmans Van Beuningen / Nederlands Foto Instituut / MAMA showroom / Kunsthal / Maritiem Museum / Centrum Beeldende Kunst / Tent / Witte de With / Historisch Museum / Chabot Museum / SKVR / V2_gebouw / WORM / Natuur Historisch Museum / LP2 / Locatie nog onbekend / .en anderen / RAAF / Het Nieuwe Instituut / Belasting- en Douanemuseum / Aboriginal Art Gallery","beide","Regionaal belang/kleinschalig",9478,2016
"872","AP76","6MT","betaald",2011,2016-02-08,2016-02-14,7,"Ahoy","binnen","Internationaal belang/Iconen",110000,2016
"873","V1MD","WG8","gedeeltelijk gratis",2000,2016-06-25,2016-10-15,4,"LantarenVenster","beide","Nationaal belang/Parels",1975,2016
"874","9R4J","LRQ","onbekend",NA,2016-06-16,2016-06-16,1,"Theater Zuidplein","binnen","Regionaal belang/kleinschalig",NA,2016
"875","SZAK","70E","onbekend",2014,2016-09-29,2016-10-02,4,"Cinerama","binnen","Regionaal belang/kleinschalig",NA,2016
"876","3NXG","8AJ","gedeeltelijk gratis",2013,2016-02-10,2016-02-14,5,"Museum Boijmans Van Beuningen / Van Nellefabriek / Wilhelminapier / HAL Cruiseterminal / Merwe Vierhavensgebied / witte de withkwartier","beide","Internationaal belang/Iconen",26500,2016
"877","YDBM","I28","gratis",2006,2016-09-10,2016-09-10,1,"Zuiderpark","buiten","Regionaal belang/kleinschalig",9000,2016
"878","W3JG","KQH","onbekend",2015,2016-09-03,2016-09-03,1,"Park 1943","onbekend","Regionaal belang/kleinschalig",NA,2016
"879","E34M","MJ0","betaald",2016,2016-05-05,2016-05-05,1,"Stadion Woudestein / Excelsior","buiten","Regionaal belang/kleinschalig",1200,2016
"880","UK6X","M8W","gratis",1996,2016-05-05,2016-05-05,1,"Het Park bij de Euromast","buiten","Nationaal belang/Parels",35000,2016
"881","FNCM","1AC","gedeeltelijk gratis",2016,2016-11-02,2016-11-02,1,"Hofplein / HipHophuis / Bird","binnen","Regionaal belang/kleinschalig",364,2016
"882","ZYW0","SH7","betaald",2014,2016-08-13,2016-08-13,1,"Roel Langerakpark","buiten","Regionaal belang/kleinschalig",5000,2016
"883","A5UV","SH7","betaald",2016,2016-12-03,2016-12-03,1,"Van Nellefabriek","beide","Regionaal belang/kleinschalig",3000,2016
"884","5LZ7","BVM","betaald",2016,2016-05-13,2016-05-15,3,"Kralingse Plas","buiten","Regionaal belang/kleinschalig",1800,2016
