"","postalcode","formal.address","location.lat","location.lng","bounds.northeast.lat","bounds.northeast.lng","bounds.southwest.lat","bounds.southwest.lng"
"12206","3052HP","3052 HP Rotterdam, Netherlands",51.9544,4.4764,51.9552,4.4783,51.9538,4.4748
"12207","3052HR","3052 HR Rotterdam, Netherlands",51.9551,4.475,51.9566,4.4768,51.9445,4.4732
"12208","3052HS","3052 HS Rotterdam, Netherlands",51.9559,4.4734,51.9566,4.4753,51.9552,4.4718
"12209","3052HT","3052 HT Rotterdam, Netherlands",51.9568,4.4741,51.9579,4.4755,51.9565,4.4736
"12210","3052HV","3052 HV Rotterdam, Netherlands",51.9552,4.4762,51.9565,4.4783,51.9538,4.4748
"12211","3052JA","3052 JA Rotterdam, Netherlands",51.9519,4.4644,51.953,4.4649,51.9503,4.4629
"12212","3052JB","3052 JB Rotterdam, Netherlands",51.9518,4.4641,51.953,4.4649,51.9503,4.4629
"12213","3052JC","3052 JC Rotterdam, Netherlands",51.9519,4.4637,51.953,4.4649,51.9503,4.4629
"12214","3052JD","3052 JD Rotterdam, Netherlands",51.952,4.4637,51.953,4.4649,51.9503,4.4629
"12215","3052JE","3052 JE Rotterdam, Netherlands",51.9521,4.4636,51.953,4.4649,51.9503,4.4629
"12216","3052JG","3052 JG Rotterdam, Netherlands",51.9521,4.4636,51.953,4.4649,51.9503,4.4629
"12217","3052JH","3052 JH Rotterdam, Netherlands",51.9522,4.4636,51.953,4.4649,51.9503,4.4629
"12218","3052JJ","3052 JJ Rotterdam, Netherlands",51.9522,4.4637,51.953,4.4649,51.9503,4.4629
"12219","3052JK","3052 JK Rotterdam, Netherlands",51.9522,4.4639,51.953,4.4649,51.9503,4.4629
"12220","3052JL","3052 JL Rotterdam, Netherlands",51.9522,4.4639,51.953,4.4649,51.9503,4.4629
"12221","3052JP","3052 JP Rotterdam, Netherlands",51.9522,4.4647,51.953,4.4665,51.9516,4.4631
"12222","3052KM","3052 KM Rotterdam, Netherlands",51.9476,4.474,51.9501,4.4758,51.9459,4.4708
"12223","3052KR","3052 KR Rotterdam, Netherlands",51.9471,4.4725,51.9487,4.474,51.946,4.4705
"12224","3052KS","3052 KS Rotterdam, Netherlands",51.9545,4.4774,51.9578,4.4787,51.9512,4.4744
"12225","3052KT","3052 KT Rotterdam, Netherlands",51.9513,4.4757,51.9538,4.4781,51.9486,4.474
"12226","3052KV","3052 KV Rotterdam, Netherlands",51.9495,4.4728,51.9514,4.4758,51.9473,4.4641
"12227","3052NA","3052 NA Rotterdam, Netherlands",51.9524,4.4681,51.9529,4.4698,51.9514,4.4663
"12228","3052NB","3052 NB Rotterdam, Netherlands",51.9527,4.4679,51.9542,4.4684,51.9515,4.4663
"12229","3052NC","3052 NC Rotterdam, Netherlands",51.953,4.4677,51.9542,4.4684,51.9515,4.4663
"12230","3052ND","3052 ND Rotterdam, Netherlands",51.9524,4.4679,51.9529,4.4682,51.9515,4.4663
"12231","3052NE","3052 NE Rotterdam, Netherlands",51.9528,4.4676,51.9542,4.4684,51.9515,4.4663
"12232","3052NG","3052 NG Rotterdam, Netherlands",51.9506,4.4687,51.9515,4.4696,51.9501,4.4677
"12233","3052NH","3052 NH Rotterdam, Netherlands",51.9501,4.469,51.9515,4.4696,51.9488,4.4675
"12234","3052NJ","3052 NJ Rotterdam, Netherlands",51.9505,4.469,51.9515,4.4696,51.9501,4.4677
"12235","3052NK","3052 NK Rotterdam, Netherlands",51.9503,4.4692,51.9515,4.4712,51.9487,4.4677
"12236","3052NL","3052 NL Rotterdam, Netherlands",51.9503,4.4675,51.9516,4.4679,51.9489,4.4659
"12237","3052NM","3052 NM Rotterdam, Netherlands",51.9499,4.4677,51.9516,4.4696,51.9488,4.4659
"12238","3052NN","3052 NN Rotterdam, Netherlands",51.9503,4.4678,51.9516,4.4696,51.9488,4.4661
"12239","3052NP","3052 NP Rotterdam, Netherlands",51.95,4.468,51.9502,4.4694,51.9488,4.4675
"12240","3052NR","3052 NR Rotterdam, Netherlands",51.9522,4.4668,51.9529,4.4682,51.9515,4.4663
"12241","3052NS","3052 NS Rotterdam, Netherlands",51.9527,4.4666,51.9543,4.4684,51.9515,4.4647
"12242","3052NT","3052 NT Rotterdam, Netherlands",51.9522,4.4667,51.9529,4.4682,51.9515,4.4647
"12243","3052NV","3052 NV Rotterdam, Netherlands",51.9526,4.4665,51.9543,4.4668,51.9516,4.4647
"12244","3052PA","3052 PA Rotterdam, Netherlands",51.9521,4.4738,51.9526,4.4746,51.9513,4.4728
