"","Neighbourhood","Postcode","Year","Total %","4-11 years %","12-17 years %","18-64 years %","65-80 years %","81+ years %","4-11 years % men","4-11 years % women","12-17 years % men","12-17 years % women","18-64 years % men","18-64 years % women","65-80 years % men","65-80 years % women","81+ years % men","81+ years % women"
"49","'s Gravenland","3065",2015,32.9,57.8,70.9,28.1,22.1,7.7,63.4,51.5,79.2,62.5,37.7,19.3,30.3,13.6,12.9,4.1
"50","Schiebroek","3052 + 3053",2015,21.1,44.2,58.5,18.4,13.9,2.8,46.6,41.8,71.7,44.7,25.4,12.1,19.2,9.6,6.9,1.2
"51","Schieveen","3046",2015,34.7,54.8,61.9,33.3,28.3,50,50,60,50,77.8,48.9,19.2,26.9,30,50,NA
"52","Spangen","3027",2015,10,15.1,28.6,8.4,3.2,2.2,21.9,8.1,46.5,8.3,14.5,2.3,5.3,1,4.7,0
"53","Stadsdriehoek","3011",2015,16.9,24.2,23.5,18,12.1,4.3,30.4,18.2,31.5,16.3,23.2,11.9,16,8.5,7.3,2.1
"54","Struisenburg en de Esch","3063",2015,16.6,32.4,19.3,16.2,18.7,8.4,42.2,22.2,29.4,10,21.7,10.6,26,12.7,12.7,5.2
"55","Tarwewijk","3081",2015,7.4,14,16.6,6.3,4.7,2.2,19.6,8.3,28.8,5.1,10.5,1.7,8.3,1.2,5.4,0
"56","Terbregge","3056",2015,32.9,57.1,67.9,27.6,17.7,15.7,57.1,57.1,78.8,55.4,40.2,16,25.5,9.8,25,9.7
"57","Tussendijken","3026",2015,7.5,13.6,20.1,6.7,2.7,1.1,19.9,7.3,35.6,4.7,10.6,2.5,4.2,1.5,2.9,0
"58","Vreewijk","3075",2015,11.6,23.5,26.2,10.6,8.8,3.5,26.6,20.4,37.2,14.7,17.2,4.8,15.9,2.9,8.3,0.8
"59","Zestienhoven","3045",2015,18.7,38.1,41.9,18.3,11.2,2.9,39.9,36.1,47.9,35.6,24.2,11.9,16.9,5.6,9.4,1
"60","Zuiderpark + Zuidrand + Wielewaal","3084",2015,10.4,29.2,26,10.5,11.1,1.9,36.4,19.1,33.3,17.8,13.8,6.6,16.3,6.1,6.4,0.3
"61","Zuidwijk","3085",2015,10.9,23.9,32.8,9.6,6.2,2,32.4,14.4,45.7,18.5,16.1,3.3,12.7,1.1,5.5,0.6
"62","Stadsdriehoek","3011",2017,15.8,25.4,24.2,16.7,10.7,5.3,30.9,20.1,29.5,19.7,21.6,11,13.4,7.9,8.2,3.4
"63","Cool","3012",2017,11.4,14.3,20.2,12.3,6.4,1.4,19.6,8.9,22.2,18.2,16.1,7.9,8.5,4.6,1.9,1.1
"64","Cs Kwartier","3013",2017,13,19.4,33.3,12.8,14.3,0,18.8,20,41.7,25,18,6.1,19.1,8.1,0,0
